location_id,location_desc,latitude,longitude
9003,South,0.0,0.0
9001,Northeast,0.0,0.0
9,Connecticut,41.56266102000046,-72.64984095
11,District of Columbia,38.907192,-77.036871
10,Delaware,39.008830667000495,-75.57774117
12,Florida,28.93204037700048,-81.92896054
13,Georgia,32.83968109300048,-83.62758035
66,Guam,13.444304,144.793731
15,Hawaii,21.304850435000446,-157.8577494
19,Iowa,42.46940091300047,-93.81649056
16,Idaho,43.68263000500048,-114.36373
18,Indiana,39.766910452000445,-86.14996019
20,Kansas,38.34774030000045,-98.20078123
33,New Hampshire,43.65595011300047,-71.50036092
34,New Jersey,40.13057004800049,-74.27369129
32,Nevada,39.493240390000494,-117.0718406
36,New York,42.82700103200045,-75.54397043
39,Ohio,40.06021014100048,-82.40426006
41,Oregon,44.56744942400047,-120.1550313
49,Utah,39.36070017100048,-111.5871306
55,Wisconsin,44.39319117400049,-89.81637074
56,Wyoming,43.23554134300048,-108.1098304
30,Montana,47.06652897200047,-109.4244206
54,West Virginia,38.66551020200046,-80.71264013
22,Louisiana,31.31266064400046,-92.44568007
24,Maryland,39.29058096400047,-76.60926011
53,Washington,47.52227862900048,-120.4700108
47,Tennessee,35.68094058000048,-85.77449091
4,Arizona,34.865970280000454,-111.7638113
29,Missouri,38.63579077600048,-92.56630005
25,Massachusetts,42.27687047000046,-72.08269067
42,Pennsylvania,40.79373015200048,-77.86070029
51,Virginia,37.54268067400045,-78.45789046
5,Arkansas,34.74865012400045,-92.27449074
48,Texas,31.827240407000488,-99.42677021
31,Nebraska,41.64104099,-99.36572062
35,New Mexico,34.52088095200048,-106.240581
44,Rhode Island,41.70828019300046,-71.52247031
27,Minnesota,46.35564873600049,-94.7942005
50,Vermont,43.62538123900049,-72.51764079
23,Maine,45.254228894000505,-68.98503134
2,Alaska,64.84507995700051,-147.722059
21,Kentucky,37.64597027100047,-84.77497105
38,North Dakota,47.47531977900047,-100.118421
40,Oklahoma,35.47203135600046,-97.52107021
1,Alabama,32.84057112200048,-86.63186076
46,South Dakota,44.35313005300048,-100.3735306
17,Illinois,40.48501028300046,-88.99771018
45,South Carolina,33.998821303000454,-81.04537121
26,Michigan,44.66131954,-84.71439027
6,California,37.63864012300047,-120.9999995
37,North Carolina,35.466220975000454,-79.15925046
8,Colorado,38.843840757000464,-106.1336109
28,Mississippi,32.745510099000455,-89.53803082
9004,West,0.0,0.0
9002,Midwest,0.0,0.0
59,"United States, DC & Territories",0.0,0.0
72,Puerto Rico,18.220833,-66.590149
78,Virgin Islands,18.335765,-64.896335
